Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102",C_0402,2,16p,C396888
"C103, C104, C105, C106, C107, C109, C110, C111, C112",C_0402,9,100n,C2874742
"C108, C113",C_0402,2,4.7u,C368809
D101,0603,1,LED_Small,C85323
J101,USB_C_Receptacle_USB4105,1,USB_C_Receptacle_USB2.0,C165948
J102,2x11_2.54mm_side,1,Conn_02x11_Counter_Clockwise,C725883
"R101, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R121, R122",R_0402,17,100k,C60491
"R102, R103, R104, R105, R106",R_0402,5,5.1k,C203181
R123,R_0402,1,330,C168264
U101,QFN-56-1EP_8x8mm_P0.5mm_EP4.5x5.2mm,1,CY7C68013A-56LTX,C14912
U102,SOT-23-6,1,USBLC6-2SC6,C7519
U103,SOT-23-5,1,MIC5235-3.3YM5-TR,C89886
"U104, U105, U106, U107",DFN-8-1EP_2x2mm_P0.5mm_EP0.7x1.3mm,4,NUF4401MN,C479731
Y101,Crystal_4Pin_2.0x1.6mm,1,24 MHz,C2689430
