Designator,Mid X,Mid Y,Rotation,Layer
C101,169.8,-78.8,90.0,top
C102,171.2,-80.2,180.0,top
C103,171.4,-66.8,0.0,top
C104,178.7,-75.3,270.0,top
C105,168.3,-67.9,90.0,top
C106,170.2,-77.2,180.0,top
C107,168.3,-75.8,270.0,top
C108,176.6,-88.9,0.0,top
C109,172.95,-77.2,180.0,top
C110,178.7,-68.2,90.0,top
C111,176.3,-66.8,0.0,top
C112,175.9,-77.2,0.0,top
C113,177.17,-83.7,0.0,top
J101,168.0,-86.0,270.0,top
J102,184.0,-80.0,90.0,top
R101,167.3,-67.9,270.0,top
R102,177.25,-77.6,90.0,top
R103,178.15,-77.6,90.0,top
R104,169.65,-66.8,0.0,top
R105,173.3,-84.0,270.0,top
R106,173.7,-87.75,180.0,top
R107,182.6,-83.8,180.0,top
R108,182.6,-68.55,180.0,top
R109,184.7,-76.2,0.0,top
R110,184.7,-91.4,0.0,top
R111,182.6,-86.35,180.0,top
R112,182.6,-71.1,180.0,top
R113,184.7,-73.65,0.0,top
R114,184.7,-88.9,0.0,top
R115,182.6,-88.9,180.0,top
R116,182.6,-73.65,180.0,top
R117,184.7,-71.1,0.0,top
R118,184.7,-86.35,0.0,top
R119,182.6,-91.4,180.0,top
R120,182.6,-76.2,180.0,top
R121,184.7,-68.55,0.0,top
R122,184.7,-83.8,0.0,top
U101,173.5,-72.0,90.0,top
U102,174.4,-79.8,90.0,top
U103,177.2,-86.3,90.0,top
U104,179.875,-77.925,270.0,top
U105,179.875,-71.325,0.0,top
U106,167.125,-70.1,180.0,top
U107,167.125,-73.0,180.0,top
Y101,171.5,-78.7,180.0,top
